,SSC_CODE_2016,Total_rented_dwellings,Separate_house_Total,Town_house_and_similar,Flats_appartments,Other_Dwellings,Dweling_structur_NS,Total_dwellings
0,SSC10001,0,6,0,0,0,0,6
1,SSC10002,95,1180,20,0,0,0,1203
2,SSC10003,800,623,328,1184,10,12,2165
3,SSC10004,50,336,14,0,0,0,349
4,SSC10005,3,11,0,0,0,0,11
5,SSC10006,334,734,172,3,3,4,917
6,SSC10007,204,665,8,44,40,3,767
7,SSC10008,5,28,0,0,0,0,28
8,SSC10009,616,1591,132,3,0,6,1734
9,SSC10010,155,786,21,3,4,0,819
10,SSC10011,7,86,0,0,0,0,86
11,SSC10012,4,5,0,0,0,0,5
12,SSC10013,4,14,0,0,0,0,14
13,SSC10014,178,235,835,37,0,4,1106
14,SSC10015,20,129,0,3,0,3,133
15,SSC10016,951,1625,383,362,5,21,2391
16,SSC10017,267,1808,30,60,0,0,1901
17,SSC10018,62,354,3,15,6,3,378
18,SSC10019,6,27,0,0,0,0,23
19,SSC10020,3,20,0,0,0,0,19
20,SSC10021,43,252,0,0,0,3,251
21,SSC10022,835,684,245,3,0,3,939
22,SSC10023,24,44,0,0,0,0,43
23,SSC10024,3,25,0,0,0,0,25
24,SSC10025,722,3686,530,14,3,11,4237
25,SSC10026,631,1911,429,17,3,57,2424
26,SSC10027,739,1242,595,102,15,9,1961
27,SSC10028,21,249,3,0,0,0,248
28,SSC10029,14,66,0,0,0,0,67
29,SSC10030,1805,122,1224,2205,16,26,3592
30,SSC10031,38,901,9,0,0,0,908
31,SSC10032,5,28,0,0,0,0,35
32,SSC10033,3,3,0,0,0,0,3
33,SSC10034,4,23,0,0,0,0,29
34,SSC10035,7,30,0,0,0,0,30
35,SSC10036,388,1885,168,173,0,9,2228
36,SSC10037,10,28,0,0,0,0,31
37,SSC10038,935,343,79,1591,11,3,2031
38,SSC10039,5,12,0,0,0,0,14
39,SSC10040,3,44,0,0,3,0,49
40,SSC10041,11,70,0,0,0,0,70
41,SSC10042,3,26,0,0,0,0,25
42,SSC10043,3,14,0,0,0,0,14
43,SSC10044,0,38,0,0,3,0,38
44,SSC10045,23,147,3,0,0,0,150
45,SSC10046,520,1807,432,36,9,15,2301
46,SSC10047,3,26,0,0,0,3,33
47,SSC10048,8,11,0,0,0,0,11
