,SSC_CODE_2016,Census_Name_2016,pop_percentage
0,SSC10001,Aarons Pass,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1,SSC10002,Abbotsbury,"1|Iraq|20.26,2|Italy|10.16,3|Vietnam|7.71,4|Philippines|4.37,5|Croatia|4.02,0|other_countries|54.37"
2,SSC10003,Abbotsford (NSW),"1|Italy|18.74,2|United_Kingdom|13.79,3|China_exc_SARs_Taiwan|10.48,4|New_Zealand|5.02,5|Hong_Kong_SAR_China|2.99,0|other_countries|47.14"
3,SSC10004,Abercrombie,"1|United_Kingdom|26.74,2|New_Zealand|11.63,3|South_Africa|10.47,4|Malaysia|8.14,5|China_exc_SARs_Taiwan|6.98,0|other_countries|34.88"
4,SSC10005,Abercrombie River,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
5,SSC10006,Aberdare,"1|United_Kingdom|40.17,2|New_Zealand|15.38,3|Philippines|7.69,4|India|6.84,5|Fiji|4.27,0|other_countries|19.66"
6,SSC10007,Aberdeen (NSW),"1|United_Kingdom|27.66,2|New_Zealand|20.21,3|Philippines|11.7,4|South_Africa|7.45,5|China_exc_SARs_Taiwan|4.26,0|other_countries|22.34"
7,SSC10008,Aberfoyle,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
8,SSC10009,Aberglasslyn,"1|United_Kingdom|23.68,2|New_Zealand|16.07,3|India|13.32,4|South_Africa|8.25,5|Philippines|5.5,0|other_countries|31.5"
9,SSC10010,Abermain,"1|United_Kingdom|37.37,2|New_Zealand|18.18,3|Germany|8.08,4|Philippines|8.08,5|Malaysia|5.05,0|other_countries|15.15"
10,SSC10011,Abernethy,"1|United_Kingdom|77.78,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
11,SSC10012,Abington (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
12,SSC10013,Acacia Creek,"1|South_Africa|0,2|Iran|0.0,3|Indonesia|0.0,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|0.0"
13,SSC10014,Acacia Gardens,"1|India|28.04,2|Philippines|13.26,3|United_Kingdom|4.84,4|Fiji|4.65,5|Sri_Lanka|4.27,0|other_countries|43.15"
14,SSC10015,Adaminaby,"1|United_Kingdom|44.44,2|Greece|5.56,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|24.07"
15,SSC10016,Adamstown,"1|United_Kingdom|22.72,2|FYROM|8.13,3|New_Zealand|8.13,4|Philippines|4.35,5|India|3.65,0|other_countries|46.28"
16,SSC10017,Adamstown Heights,"1|United_Kingdom|26.05,2|FYROM|11.0,3|New_Zealand|8.68,4|Italy|5.07,5|Germany|3.33,0|other_countries|42.26"
17,SSC10018,Adelong,"1|United_Kingdom|25.86,2|New_Zealand|24.14,3|South_Africa|15.52,4|Philippines|6.9,5|China_exc_SARs_Taiwan|5.17,0|other_countries|12.07"
18,SSC10019,Adjungbilly,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
19,SSC10020,Afterlee,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
20,SSC10021,Agnes Banks,"1|Malta|27.84,2|United_Kingdom|25.77,3|Greece|8.25,4|Ireland|5.15,5|Indonesia|4.12,0|other_countries|18.56"
21,SSC10022,Airds,"1|New_Zealand|17.18,2|United_Kingdom|14.11,3|Lebanon|7.16,4|Fiji|3.89,5|Greece|1.84,0|other_countries|54.81"
22,SSC10023,Akolele,"1|New_Zealand|58.33,2|United_Kingdom|50.0,3|Iran|0.0,4|Egypt|0.0,5|Philippines|0.0,0|other_countries|0.0"
23,SSC10024,Albert,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
24,SSC10025,Albion Park,"1|United_Kingdom|46.06,2|Germany|6.08,3|New_Zealand|5.97,4|Philippines|3.53,5|Netherlands|2.72,0|other_countries|34.47"
25,SSC10026,Albion Park Rail,"1|United_Kingdom|47.14,2|New_Zealand|5.82,3|Netherlands|5.22,4|Germany|4.21,5|Philippines|2.61,0|other_countries|34.5"
26,SSC10027,Albury,"1|United_Kingdom|25.04,2|New_Zealand|8.7,3|India|8.17,4|Germany|6.26,5|Netherlands|4.17,0|other_countries|46.78"
27,SSC10028,Aldavilla,"1|United_Kingdom|33.72,2|New_Zealand|13.95,3|Vietnam|8.14,4|Netherlands|5.81,5|Fiji|4.65,0|other_countries|20.93"
28,SSC10029,Alectown,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
29,SSC10030,Alexandria,"1|United_Kingdom|19.06,2|New_Zealand|11.21,3|China_exc_SARs_Taiwan|7.96,4|Ireland|3.87,5|Philippines|2.88,0|other_countries|51.52"
30,SSC10031,Alfords Point,"1|United_Kingdom|12.79,2|FYROM|9.16,3|Lebanon|7.27,4|Greece|6.83,5|China_exc_SARs_Taiwan|4.22,0|other_countries|58.14"
31,SSC10032,Alfredtown,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
32,SSC10033,Alice,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
33,SSC10034,Alison (Central Coast - NSW),"1|Greece|37.5,2|South_Africa|37.5,3|India|0.0,4|Hong_Kong_SAR_China|0.0,5|Indonesia|0.0,0|other_countries|37.5"
34,SSC10035,Alison (Dungog - NSW),"1|United_Kingdom|0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
