,SSC_CODE_2016,Christianity,Hinduism,Islam,Judaism,Aborginal_Traditional_Rel,Othr_Reln_Other_reln_groups_P,Other_Religions,Secular_Beliefs_and_No_Religious_Affiliation,Religious_affiliation_ns_P
0,SSC10001,19,0,0,0,0,0,0,3,3
1,SSC10002,3445,34,110,0,0,31,29,302,166
2,SSC10003,3363,23,36,28,0,19,22,1286,506
3,SSC10004,808,3,0,0,0,0,0,213,89
4,SSC10005,4,0,0,0,0,0,0,15,3
5,SSC10006,1556,11,0,0,3,7,6,676,202
6,SSC10007,1499,0,0,0,0,3,3,383,183
7,SSC10008,78,0,0,0,0,0,0,12,9
8,SSC10009,3727,41,3,0,0,7,13,1285,305
9,SSC10010,1497,5,0,0,0,4,4,642,177
10,SSC10011,192,0,0,0,0,0,0,73,78
11,SSC10012,8,0,0,0,0,0,0,0,0
12,SSC10013,19,0,0,0,0,0,0,26,0
13,SSC10014,2111,439,201,0,0,19,249,531,204
14,SSC10015,196,0,0,0,0,0,0,86,23
15,SSC10016,3462,41,20,0,0,8,15,2079,336
16,SSC10017,3260,19,10,0,0,4,13,1617,314
17,SSC10018,715,0,0,0,0,0,0,150,75
18,SSC10019,67,0,0,0,0,0,0,12,9
19,SSC10020,30,0,0,0,0,0,0,16,3
20,SSC10021,649,0,0,0,0,0,0,164,85
21,SSC10022,1569,5,135,0,7,6,17,813,359
22,SSC10023,50,0,0,0,0,0,0,67,52
23,SSC10024,59,0,0,0,0,0,0,14,12
24,SSC10025,8858,18,45,0,6,18,26,3476,826
25,SSC10026,4421,3,20,0,0,17,19,1892,518
26,SSC10027,2597,75,23,10,0,11,15,1542,512
27,SSC10028,496,0,0,0,0,0,0,146,576
28,SSC10029,145,0,0,0,0,0,0,8,18
29,SSC10030,2662,57,52,88,19,21,43,4183,947
30,SSC10031,2377,27,105,0,0,7,13,416,147
31,SSC10032,66,0,0,0,0,0,0,26,20
32,SSC10033,0,0,0,0,0,0,0,4,0
33,SSC10034,62,0,0,0,0,0,0,19,12
34,SSC10035,41,0,0,0,0,0,0,28,7
