,SSC_CODE_2016,Census_Name_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
0,SSC10001,Aarons Pass,50,0,575,0,1375,0.4,949,1.4
1,SSC10002,Abbotsbury,38,2167,721,505,2175,0.9,2171,3.5
2,SSC10003,Abbotsford (NSW),45,2600,965,520,2489,0.9,2006,2.3
3,SSC10004,Abercrombie,36,1733,813,370,2200,0.8,2006,3.1
4,SSC10005,Abercrombie River,55,0,449,0,900,0.7,833,1.6
5,SSC10006,Aberdare,35,1300,511,270,1176,0.8,998,2.5
6,SSC10007,Aberdeen (NSW),37,1625,603,240,1682,0.8,1328,2.5
7,SSC10008,Aberfoyle,43,560,825,50,1875,0.9,1812,3.0
8,SSC10009,Aberglasslyn,30,2007,758,380,1998,0.8,1897,3.0
9,SSC10010,Abermain,37,1367,498,280,1389,0.8,1185,2.6
10,SSC10011,Abernethy,32,1733,507,300,1833,1.0,1575,2.8
11,SSC10012,Abington (NSW),44,0,1042,0,0,0.0,1649,0.0
12,SSC10013,Acacia Creek,42,0,450,235,1375,0.9,762,1.4
13,SSC10014,Acacia Gardens,34,2383,905,520,2367,0.9,2378,3.4
14,SSC10015,Adaminaby,55,1000,549,150,1292,0.6,783,1.9
15,SSC10016,Adamstown,36,1842,698,325,1932,0.9,1404,2.4
16,SSC10017,Adamstown Heights,41,2008,751,395,2095,0.8,1770,2.7
17,SSC10018,Adelong,46,1083,507,180,1287,0.7,1018,2.3
18,SSC10019,Adjungbilly,36,975,814,0,1958,0.8,1375,3.1
19,SSC10020,Afterlee,55,0,454,135,1041,0.7,850,2.2
20,SSC10021,Agnes Banks,36,2000,776,380,2011,0.8,1910,3.3
21,SSC10022,Airds,30,1200,385,178,749,0.9,677,2.8
22,SSC10023,Akolele,33,1475,340,165,749,0.8,687,2.6
23,SSC10024,Albert,40,0,592,0,1937,0.5,1562,2.7
24,SSC10025,Albion Park,35,1950,639,385,1817,0.8,1678,3.0
25,SSC10026,Albion Park Rail,40,1700,550,320,1364,0.8,1198,2.6
26,SSC10027,Albury,43,1625,786,240,2028,0.8,1372,2.1
27,SSC10028,Aldavilla,37,1300,495,250,1258,0.8,1125,2.6
28,SSC10029,Alectown,49,1430,575,110,1843,0.7,1312,2.3
29,SSC10030,Alexandria,33,2500,1341,590,2904,1.1,2421,2.1
30,SSC10031,Alfords Point,40,2400,841,740,2607,0.8,2622,3.4
31,SSC10032,Alfredtown,40,2557,900,200,1708,0.8,1583,2.4
32,SSC10033,Alice,47,0,325,0,0,1.0,0,1.0
33,SSC10034,Alison (Central Coast - NSW),43,2600,669,595,2250,0.8,2083,3.0
34,SSC10035,Alison (Dungog - NSW),45,2079,724,240,1874,0.6,1062,2.0
35,SSC10036,Allambie Heights,41,2902,777,478,2630,0.9,2229,3.0
36,SSC10037,Allandale (NSW),46,2640,866,370,1812,0.7,1781,1.9
37,SSC10038,Allawah,33,1950,614,440,1507,1.1,1494,2.7
38,SSC10039,Alleena,41,0,450,0,1124,0.5,949,1.7
39,SSC10040,Allgomera,50,1300,479,230,1375,0.7,959,2.3
40,SSC10041,Allworth,47,1430,606,230,1375,0.8,1050,1.9
41,SSC10042,Allynbrook,53,1478,687,0,2150,0.7,1875,2.5
42,SSC10043,Alma Park,39,454,1025,0,1666,0.9,1625,3.2
43,SSC10044,Alpine,46,2865,749,0,2050,1.0,2200,3.0
44,SSC10045,Alstonvale,47,1950,694,310,1674,0.7,1421,2.7
45,SSC10046,Alstonville,50,1560,570,300,1361,0.7,1069,2.3
46,SSC10047,Alumy Creek,51,1300,519,0,1300,0.8,1187,2.5
47,SSC10048,Amaroo (NSW),38,0,828,0,1875,0.7,1833,2.5
48,SSC10049,Ambarvale,32,1700,556,330,1375,0.9,1287,3.0
49,SSC10050,Amosfield,47,0,333,0,1187,0.4,1083,1.3
50,SSC10051,Anabranch North,28,0,962,0,0,0.0,0,0.0
51,SSC10052,Anabranch South,45,0,637,0,1125,0.5,866,2.5
52,SSC10053,Anambah,42,0,575,425,2124,0.6,999,2.2
53,SSC10054,Ando,47,0,662,150,1291,0.6,1031,2.0
54,SSC10055,Anembo,43,1950,680,90,1416,0.7,1375,2.8
55,SSC10056,Angledale,45,1083,609,260,1562,0.8,1160,2.4
56,SSC10057,Angledool,51,0,407,0,1374,1.0,440,1.5
57,SSC10058,Anglers Reach,65,1500,474,0,1156,0.7,959,1.7
58,SSC10059,Angourie,52,1300,693,320,1430,0.7,1347,2.0
59,SSC10060,Anna Bay,47,1733,497,350,1297,0.8,1065,2.4
60,SSC10061,Annandale (NSW),37,3000,1162,540,3304,1.0,2337,2.3
61,SSC10062,Annangrove,41,2900,765,500,2416,0.8,2484,3.6
62,SSC10063,Appin (NSW),32,2275,822,400,2166,0.8,2104,3.2
63,SSC10064,Apple Tree Flat,48,0,664,0,1437,0.5,1374,1.7
64,SSC10065,Appleby,40,1733,814,150,1875,1.0,1625,3.5
65,SSC10066,Appletree Flat,47,0,612,0,0,0.7,1562,1.5
66,SSC10067,Apsley (NSW),49,1083,415,0,1166,0.8,1224,3.1
67,SSC10068,Arable,56,0,933,0,0,0.7,2250,1.0
68,SSC10069,Arakoon,56,1320,564,350,1193,0.7,1075,2.2
69,SSC10070,Araluen (NSW),55,867,438,150,850,0.8,716,1.9
70,SSC10071,Aratula (NSW),34,0,0,0,0,0.0,0,0.0
